"","Q1","Progress.x","Duration..in.seconds..x","Finished.x","UserLanguage.x","Q1Q4_1","Q1Q4_2","Q1Q4_3","Q1Q4_4","Q1Q5","Q1Q6","Progress.y","Duration..in.seconds..y","Finished.y","UserLanguage.y","Q2Q4","Q2Q5","Q2Q6","Q2Q7","Q2Score","Q2Alphabet","Q2IntrotoRussian","Q2PersonalPronounsPoss","Q2Score_pct","Q2Alphabet_pct","Q2IntrotoRussian_pct","Q2PersonalPronounsPoss_pct","Progress.x","Duration..in.seconds..x","Finished.x","UserLanguage.x","Q3Q4","Q3Score","Q3Greetings","Q3PersonalPronounsPoss","Q3Score_pct","Q3Greetings_pct","Q3PersonalPronounsPoss_pct","Progress.y","Duration..in.seconds..y","Finished.y","UserLanguage.y","Q4Q4","Q4Q5","Q4Q6","Q4Q7","Q4Q8","Q4Q9","Q4Q10","Q4Q11","Q4Q12","Q4Q13","Q4Q14","Q4Score","Q4Alphabet","Q4Greetings","Q4IntrotoRussian","Q4PersonalPronounsPoss","Q4Calendar","Q4Score_pct","Q4Alphabet_pct","Q4Greetings_pct","Q4IntrotoRussian_pct","Q4PersonalPronounsPoss_pct","Q4Calendar_pct"
"1","cy2503",100,66,"True","EN","Mandarin","Taiwanese","Japanese","N/A","Mandarin",1,100,95,"True","EN",1,1,0,1,3,1,3,1,75,50,100,100,100,15,"True","EN",1,1,1,1,100,100,100,"100",86,"TRUE","EN",0,1,0,1,1,1,1,1,2,"Japanese",0,4,1,1,2,0,2,66.6666666666667,100,100,66.6666666666667,0,100
"2","esg2162",100,38,"True","EN","N/A","N/A","N/A","N/A","English",1,100,84,"True","EN",1,1,0,1,3,1,3,1,75,50,100,100,100,18,"True","EN",1,1,1,1,100,100,100,"100",75,"TRUE","EN",0,1,0,1,1,0,1,0,0,"Spanish",0,3,1,1,2,0,1,50,100,100,66.6666666666667,0,50
"3","hr2461",100,44,"True","EN","Mandarin","Japanese (basic)","N/A","N/A","Mandarin",1,100,182,"True","EN",1,1,0,1,3,1,3,1,75,50,100,100,100,13,"True","EN",1,1,1,1,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","lx2241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,44,"True","EN",1,1,1,1,4,2,3,1,100,100,100,100,100,17,"True","EN",1,1,1,1,100,100,100,"100",57,"TRUE","EN",0,1,0,1,1,1,1,1,2,"numbers!",0,4,1,1,2,0,2,66.6666666666667,100,100,66.6666666666667,0,100
"5","mkm2203",100,53,"True","EN","Mandarin","n/a","n/a","n/a","English",1,100,31,"True","EN",1,1,1,1,4,2,3,1,100,100,100,100,100,10,"True","EN",1,1,1,1,100,100,100,"100",79,"TRUE","EN",0,0,1,1,1,0,1,1,2,"unsure",0,3,0,1,2,1,1,50,0,100,66.6666666666667,100,50
"6","mz2635",100,34,"True","EN","Chinese","N/A","N/A","N/A","Chinese",1,100,88,"True","EN",1,1,0,1,3,1,3,1,75,50,100,100,100,21,"True","EN",1,1,1,1,100,100,100,"100",93,"TRUE","EN",0,1,0,1,1,0,1,1,2,"greeting",0,3,1,1,2,0,1,50,100,100,66.6666666666667,0,50
"7","qz2356",100,60,"True","EN","Chinese","English","French","NA","Hunanese",1,100,80,"True","EN",1,1,0,1,3,1,3,1,75,50,100,100,100,27,"True","EN",0,0,0,0,0,0,0,"100",139,"TRUE","EN",0,0,0,1,0,1,1,1,2,"Japanese",0,2,0,1,1,0,1,33.3333333333333,0,100,33.3333333333333,0,50
"8","sl4391",100,93,"True","EN","Chinese","N/A","N/A","N/A","Chinese",0,100,63,"True","EN",1,1,1,1,4,2,3,1,100,100,100,100,100,36,"True","EN",1,1,1,1,100,100,100,"100",101,"TRUE","EN",0,0,1,0,1,1,1,1,2,"spanish",0,3,0,0,1,1,2,50,0,0,33.3333333333333,100,100
"9","sw3323",100,43,"True","EN","Chinese","English","N/A","N/A","Chinese",0,100,45,"True","EN",1,1,0,1,3,1,3,1,75,50,100,100,100,10,"True","EN",1,1,1,1,100,100,100,"NA",100,"NA","NA",1,0,0,1,1,0,1,0,0,"conversation",0,3,0,1,3,0,1,50,0,100,100,0,50
"10","xt2213",100,41,"True","EN","Mandarin","English","Polish","Japanese","Mandarin",0,100,85,"True","EN",1,1,1,1,4,2,3,1,100,100,100,100,100,16,"True","EN",0,0,0,0,0,0,0,"100",128,"TRUE","EN",0,0,0,1,1,1,1,0,2,"food",0,3,0,1,2,0,2,50,0,100,66.6666666666667,0,100
"11","xz2819",100,44,"True","EN","Chinese","English","N/A","N/A","Chinese",1,100,196,"True","EN",1,1,1,1,4,2,3,1,100,100,100,100,100,76,"True","EN",1,1,1,1,100,100,100,"100",266,"TRUE","EN",0,1,1,1,1,1,0,1,2,"how to introduce myself",0,5,1,1,2,1,2,83.3333333333333,100,100,66.6666666666667,100,100
